Collection,Exhibition,Date/Time Created,Link to Source Page,Object / Image Title,"""Accession Number""",Source URI,"Existing Description ""Hover"" Text",Alt Description Text,Long Description Text,Author,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 5:45 PM,https://collection.cooperhewitt.org/objects/18618511/,Portrait Plaque,1984-84-28,https://images.collection.cooperhewitt.org/103132__b.jpg,Portrait Plaque,"Molded rectangular earthenware portrait plaque, with multicolor iridescent glaze and luster","This glazed and lustered rectangular earthenware plaque shows a low-relief figure in profile, facing left, head slightly bowed. The figure's eyes are downcast, nose gently curved, lips slightly parted. The figure wears a crown tied with rippling ribbons at the back; a halo appears to float above the figure's head. The figure's robe has full sleeves and a low neckline. The surface of the plaque is an iridescent rainbow of colors: bright copper greens, dusky blues and purples, magenta, warm copper reds, and gold. The figure is mostly cool colors; the background is mostly warm colors. The background is sprinkled with spots and freckles, creating a rich texture. The plaque is signed ""Sicard"" in curling letters, rotated ninety degrees left, in the bottom right corner. The gold letters blend with the gold background.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 6:10 PM,https://collection.cooperhewitt.org/objects/18638831/,"Platter (England), 1888–98",1992-124-1,https://images.collection.cooperhewitt.org/333931__b.jpg,A dark red plate decorated with a border of cream-colored nude males around the inner plate and outer rim.,Round glazed and lustered earthenware platter with white putti on red ground,"This round glazed and lustered earthenware platter has a wide, flat rim around a shallow center. The platter is a lustrous brick red, with white putti (chubby naked boys) frolicking in the center and around the rim. A ring of stylized foliage marks the transition between the center and the rim. At center, six putti dance in a circle, holding hands, turning in and out. Their heads are in the center of the plate; their feet appear to run along the band of foliage. On the rim of the plate, groups of putti hold fruit and flowers in various poses. Their heads face the lip of the plate; their feet appear to stand on the band of foliage. The details of the figures are painted in clean red lines, the same color as the background.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 6:35 PM,https://collection.cooperhewitt.org/objects/69167765/,"Grand Seascape with Trees Vase, ca. 1900",2015-10-2,https://images.collection.cooperhewitt.org/186366__b.jpg,"Vase of tall ovoid section with ""pinched"" ends, painted and glazed with iridescent copper metal oxides in a landscape with trees, water and sun",Multicolor metallic glazed earthenware vase with painted seascape,"This handthrown earthenware vase is a tall oval-shape with a flat top. The lip is pinched into a pointed oval, and the sides pinched together to continue that line down the vase. The bottom is rounded, with a simple round foot. The vase is finely painted with a brilliant seascape in metallic glazes. Tall golden pines with umbrella-shaped foliage stand with low golden shrubs and rocks against a turquoise and violet sea, below a flaming red-orange sky darkening into deep violet-plum above. The iridescence of the glaze adds richness to the scene. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 3:45 PM,https://collection.cooperhewitt.org/objects/18558413/,"Plate (Spain), late 17th century",1940-114-1-a,https://images.collection.cooperhewitt.org/333945__b.jpg,"Shallow bowl with slightly flared rim; central impression at inside bottom of the bowl, not visible from reverse; circular foot ring. Decorated in copper red; small animal and two stylized birds to the left and right above, amid profusion of intricate, stylized palmette and fern motifs, set off by a circle. Five-pointed pattern, vaguely reminiscent of a star, encircles the center. Reverse decorated with concentric circles.","Glazed and lustered shallow earthenware plate, with copper-red animal and foliage motifs","A round, shallow earthenware plate or bowl with a slightly flared rim. The plate is densely decorated with lustrous, rich copper-red linework designs, on a creamy background. At center is a chicken-like animal, with two smaller stylized birds above. The space around the animals is filled with triangular palmettes and round leaf and vine motifs. A circle encloses the center scene. Around the rim of the plate are ten equally-spaced triangular palmettes, pointing out. An enclosing line delineates alternate palmettes, creating a star-shape. The same dense vine motifs fill the space around the palmettes. The plate has an S-shaped crack at center, continuing out to the slightly chipped rim. Three dark, unglazed spots arranged in a triangle surround the S-crack at center.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 4:30 PM,https://collection.cooperhewitt.org/objects/18651071/,"Vase (England), 1891",1995-3-1,https://images.collection.cooperhewitt.org/335404__b.jpg,"Tall urn with flared foot and narrowed neck supporting collared, flared rim. Red lustre decoration on ivory ground, showing classical female figures.",Glazed and lustered earthenware vase with cream and red classical motifs,"This glazed and lustered earthenware vase is decorated with classical designs in cream and lustrous ruby red. It has an upright, flaring rim with a flattened lip. The neck is narrow, swelling into a curvy body before narrowing at the bottom into a slightly flared, rounded foot. The decorations of the vase are cream-colored, with details in red luster. The inside lip of the vase is cream-colored with red teardrop shapes, above a scallop-edged red field. Around the exterior rim is a band of stylized leaf shapes. On the body are figures and plants with clean-lined details, on a solid red background. Three women in various flowing classical dresses fill the body of the vase. Their raised arms overlap at the elbows; they hold what appear to be lamps in their joined, upturned hands. The woman at center turns her head to our left, looking towards her neighbor. This woman looks back at the central figure. The woman at right looks straight ahead. The two side figures vanish around the curve of the vase. Between the women are short trees with artichoke-shaped crowns, and a snake wrapped up each slender trunk. The left tree bears three round fruits. A band of heart-shaped leaves encircles the foot of the vase. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 12:50 PM,https://collection.cooperhewitt.org/objects/1108828455/,"Vase, 1909",2017-23-1,https://images.collection.cooperhewitt.org/330827_fa2142c9977a1a6e_b.jpg,"Two handled vase with a lusterware glaze, ornamented in resist copper-colored decoration. Vase decoration consists of two heraldic lions along with foliage and twining vines. In interior of vase, mechanism has been placed to turn it into a lamp, but it does not compromise the body of the vase.",Glazed and lustered green and silver earthenware vase with heraldic lion,"A glazed and lustered earthenware vase, with a short upright neck and a rounded, bulbous body. Two curved handles flank the neck, joining the vase just below the lip and at the curve of the shoulder. The lip and handles are an iridescent orangey-bronze color, shading into the iridescent copper-green color on the rest of the vase. The decorations are mostly an iridescent silvery color. The neck is decorated with a central orange floral motif, framed by leaves. The body is adorned with a large lion rampant on a background of curling vines, framed by a straight vine border. The shaggy lion faces left and rears up on its hind legs, front legs extended, tail streaming behind. A large dark spot mars the lion's neck. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 12:30 PM,https://collection.cooperhewitt.org/objects/18490389/,"Vase (USA), 1920–1929",1977-56-1,https://images.collection.cooperhewitt.org/47111__b.jpg,Irridescent blue two handled amphora-shaped vase.,Iridescent bright blue amphora-shaped glass vase,"This amphora-shaped glass vase has a wide, flattened rim that curves down over a narrow neck. The neck slopes out to join the wide shoulders, with an upright looped handle at each side. The line between the neck and shoulders is a sharp transition. The tall oval body narrows dramatically to join a flattened-bell shaped foot. The surface of the vase is a vivid, iridescent blue, changing between green-gold, light green, deep teal, cobalt blue, and rich blue-violet. There are dark spots on the body of the vase. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 12:10 PM,https://collection.cooperhewitt.org/objects/18802893/,"Vase (USA), ca. 1902",1984-84-25,https://images.collection.cooperhewitt.org/109283__b.jpg,"Gray-white clay body, cast. Monumental elongated ovoid body with flaring rim; no foot. Decorated with full-length irises in full bloom with slightly whiplash leaves and stems that extend up over the body and shoulder. Interior of flaring rim decorated with short wavy lines. Decoration in metallic lustres on an iridescent ground in shades of muted greens, peacock blue, dark purple, lavender, salmon pink and gold over a copper lustre glaze. Interior covered with copper-red lustre glaze. Bottom glazed a light green high glaze.",Glazed and lustered earthenware vase with blue and green irises,"This glazed and lustered earthenware vase is decorated with curving iris flowers. It has a short, flared neck, rounded shoulders and a tall, tapering body, with no foot. The bottom is about as wide as the rim, creating a sense of balance. The vase is densely decorated with iridescent iris flowers and foliage, in shades of blue-violet, soft spring green, and bluish seafoam green. The frilled blossoms curve around the neck and shoulders of the vase, tucked among the tall blade-shaped leaves. The background is a lustrous, rosy copper color. The inside edge of the rim appears to be decorated with a blue-green design on a copper-colored background. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Iridescence,6/23/2020 12:00 PM,https://collection.cooperhewitt.org/objects/2318792691/,"Service for Twelve, 1972–73",1986-23-1/5,https://images.collection.cooperhewitt.org/114689_39b2a5304cec7856_b.jpg,"Service for Twelve, 1972–73",Round gold luster handthrown earthenware plate,"This round handthrown earthenware plate has a shallow upright rim, and concentric throwing marks in the bottom of the plate. The surface is smooth but slightly crackled, and a lustrous rosy gold color.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/10/2020 10:00 AM,https://collection.cooperhewitt.org/objects/2318793578/,"MODEL, RICINUS COMMUNIS, 1875–1898",22.2018.1,https://images.collection.cooperhewitt.org/351366_bdf0d4bb697f3022_b.jpg,Anatomical model of Ricinus Communis glued to a vertical rod mounted on a stepped base with affixed paper label,"An anatomical model of a Ricinus Communis, a castor bean or castor oil plant, is glued to a vertical rod mounted on a stepped base with an affixed paper label.",An anatomical model of a Ricinus Communis comonly known as a a castor bean or castor oil plant.Three prickly forked magenta extensions rise out of a greenish brown bulb with upward curved spines. Folded browish green leaves hang underneath with a thick green stem. It is glued to a vertical rod which is mounted on a stepped base with an affixed paper label.,Nilda Lopez,,,,,,,,,,,,,,,
